ED,ES,ED,ES,ED,ES,ED,ES,ED,ES,ED,
,6,30,42,65,79,0,,,,,
10,20,38,48,66,76,1,,,,,
28,41,71,84,1,,,,,,,
30,46,82,1,,,,,,,,
6,20,46,60,1,,,,,,,
,9,36,50,76,0,,,,,,
11,21,34,43,51,60,68,77,1,,,
,5,28,41,66,77,0,,,,,
,12,26,38,52,63,77,0,,,,
18,29,49,60,78,1,,,,,,
7,23,62,79,1,,,,,,,
,6,22,35,52,66,0,,,,,
,4,26,39,63,79,0,,,,,
26,40,75,1,,,,,,,,
23,37,62,77,1,,,,,,,
,6,38,54,86,0,,,,,,
,6,31,44,70,83,0,,,,,
29,41,71,84,1,,,,,,,
15,29,59,73,1,,,,,,,
8,21,40,53,72,1,,,,,,
,14,32,47,65,80,0,,,,,
6,17,31,42,57,68,82,1,,,,
23,37,59,73,1,,,,,,,
,6,29,44,66,81,0,,,,,
18,33,71,87,1,,,,,,,
6,21,36,51,65,1,,,,,,
4,15,40,53,76,1,,,,,,
18,33,58,72,1,,,,,,,
,17,45,63,91,0,,,,,,
20,33,52,65,86,1,,,,,,
,7,30,45,67,0,,,,,,
,19,35,46,70,0,,,,,,
,14,34,46,65,77,0,,,,,
6,13,28,36,48,56,69,1,,,,
8,20,43,55,78,1,,,,,,
,11,37,49,75,87,0,,,,,
18,35,56,72,1,,,,,,,
,11,29,46,59,73,0,,,,,
,5,28,39,63,73,0,,,,,
,10,29,39,58,68,0,,,,,
11,24,50,63,1,,,,,,,
8,21,37,50,65,1,,,,,,
8,18,30,40,49,62,73,1,,,,
,4,32,46,73,86,0,,,,,
15,30,54,68,93,1,,,,,,
11,20,47,57,84,1,,,,,,
7,20,47,60,1,,,,,,,
14,26,50,61,1,,,,,,,
,9,34,48,71,83,0,,,,,
19,29,49,60,80,1,,,,,,
4,16,30,40,55,66,80,1,,,,
14,24,40,53,66,1,,,,,,
,8,19,28,38,49,59,71,82,0,,
,8,31,43,66,79,0,,,,,
18,29,46,56,66,73,1,,,,,
7,24,51,68,93,1,,,,,,
13,27,52,67,1,,,,,,,
,9,32,43,68,0,,,,,,
,4,25,36,54,64,83,0,,,,
7,15,31,39,49,64,73,1,,,,
17,32,64,80,1,,,,,,,
,5,40,52,0,,,,,,,
,8,23,37,52,65,81,93,0,,,
,15,38,52,74,0,,,,,,
,3,26,41,66,80,0,,,,,
9,21,34,46,62,72,1,,,,,
,3,21,36,50,58,81,0,,,,
13,27,42,55,71,84,1,,,,,
4,17,48,62,1,,,,,,,
3,17,35,43,64,76,1,,,,,
18,32,59,73,1,,,,,,,
11,23,43,58,76,89,1,,,,,
19,31,57,70,1,,,,,,,
10,24,51,64,1,,,,,,,
,15,39,56,79,0,,,,,,
5,19,40,54,75,90,1,,,,,
19,33,62,75,1,,,,,,,
7,20,38,52,63,72,1,,,,,
3,18,44,59,86,101,1,,,,,
23,35,62,75,1,,,,,,,
,9,28,39,57,69,87,0,,,,
3,16,38,52,73,1,,,,,,
,12,31,45,65,79,0,,,,,
7,20,35,47,63,76,1,,,,,
,13,38,55,82,0,,,,,,
3,18,52,66,1,,,,,,,
,17,42,61,88,0,,,,,,
19,31,57,70,1,,,,,,,
13,24,39,50,64,75,89,1,,,,
7,21,47,61,87,1,,,,,,
,9,39,53,83,0,,,,,,
8,16,25,32,42,49,59,66,1,,,
17,30,49,62,82,1,,,,,,
22,37,71,86,1,,,,,,,
,18,52,70,106,0,,,,,,
,14,39,54,77,0,,,,,,
,17,46,62,91,0,,,,,,
,19,46,64,90,0,,,,,,
5,18,39,52,72,85,1,,,,,
,7,40,54,86,100,0,,,,,
,5,39,56,87,0,,,,,,
,6,42,61,97,0,,,,,,
,14,50,65,100,0,,,,,,
,12,40,58,86,0,,,,,,
3,18,44,61,88,1,,,,,,
24,41,69,85,1,,,,,,,
26,45,75,94,1,,,,,,,
19,33,58,72,97,1,,,,,,
5,22,46,62,87,1,,,,,,
29,43,71,85,1,,,,,,,
,7,31,45,70,83,0,,,,,
,11,27,41,58,71,88,0,,,,
,11,28,42,59,73,90,0,,,,
19,36,64,81,1,,,,,,,
25,40,65,80,1,,,,,,,
,14,32,45,63,75,93,0,,,,
34,51,85,1,,,,,,,,
,11,19,29,38,49,58,66,81,91,101,0
16,31,57,72,98,1,,,,,,
15,29,56,71,96,1,,,,,,
